Title,Genres,Year,Cast,Director,Rating,RatingCount,Popularity,Adult,Language,Overview
Toy Story,"Animation ,Comedy ,Family",1995,"tomhanks ,timallen ,donrickles",johnlasseter,7.7,5415.0,21.946943,False,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
Jumanji,"Adventure ,Fantasy ,Family",1995,"robinwilliams ,jonathanhyde ,kirstendunst",joejohnston,6.9,2413.0,17.015539,False,en,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures."
Grumpier Old Men,"Romance ,Comedy",1995,"waltermatthau ,jacklemmon ,ann-margret",howarddeutch,6.5,92.0,11.7129,False,en,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max."
Waiting to Exhale,"Comedy ,Drama ,Romance",1995,"whitneyhouston ,angelabassett ,lorettadevine",forestwhitaker,6.1,34.0,3.859495,False,en,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."
Father of the Bride Part II,Comedy,1995,"stevemartin ,dianekeaton ,martinshort",charlesshyer,5.7,173.0,8.387519000000001,False,en,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own."
Heat,"Action ,Crime ,Drama ,Thriller",1995,"alpacino ,robertdeniro ,valkilmer",michaelmann,7.7,1886.0,17.924927,False,en,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence."
Sabrina,"Comedy ,Romance",1995,"harrisonford ,juliaormond ,gregkinnear",sydneypollack,6.2,141.0,6.677277,False,en,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
Tom and Huck,"Action ,Adventure ,Drama ,Family",1995,"jonathantaylorthomas ,bradrenfro ,rachaelleighcook",peterhewitt,5.4,45.0,2.5611610000000002,False,en,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."
Sudden Death,"Action ,Adventure ,Thriller",1995,"jean-claudevandamme ,powersboothe ,dorianharewood",peterhyams,5.5,174.0,5.23158,False,en,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer..."
GoldenEye,"Adventure ,Action ,Thriller",1995,"piercebrosnan ,seanbean ,izabellascorupco",martincampbell,6.6,1194.0,14.686035999999998,False,en,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.
The American President,"Comedy ,Drama ,Romance",1995,"michaeldouglas ,annettebening ,michaelj.fox",robreiner,6.5,199.0,6.318445,False,en,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings."
Dracula: Dead and Loving It,"Comedy ,Horror",1995,"leslienielsen ,melbrooks ,amyyasbeck",melbrooks,5.7,210.0,5.430331,False,en,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count."
Balto,"Family ,Animation ,Adventure",1995,"kevinbacon ,bobhoskins ,bridgetfonda",simonwells,7.1,423.0,12.140733,False,en,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska."
Nixon,"History ,Drama",1995,"anthonyhopkins ,joanallen ,powersboothe",oliverstone,7.1,72.0,5.092,False,en,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency."
Cutthroat Island,"Action ,Adventure",1995,"geenadavis ,matthewmodine ,franklangella",rennyharlin,5.7,137.0,7.284477000000001,False,en,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
Casino,"Drama ,Crime",1995,"robertdeniro ,sharonstone ,joepesci",martinscorsese,7.8,1343.0,10.137389,False,en,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.
Sense and Sensibility,"Drama ,Romance",1995,"katewinslet ,emmathompson ,hughgrant",anglee,7.2,364.0,10.673167,False,en,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites."
Four Rooms,"Crime ,Comedy",1995,"timroth ,antoniobanderas ,jenniferbeals",allisonanders,6.5,539.0,9.026586,False,en,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
Ace Ventura: When Nature Calls,"Crime ,Comedy ,Adventure",1995,"jimcarrey ,ianmcneice ,simoncallow",steveoedekerk,6.1,1128.0,8.205447999999999,False,en,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war."
Money Train,"Action ,Comedy ,Crime",1995,"wesleysnipes ,woodyharrelson ,jenniferlopez",josephruben,5.4,224.0,7.337905999999999,False,en,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him."
Get Shorty,"Comedy ,Thriller ,Crime",1995,"johntravolta ,genehackman ,renerusso",barrysonnenfeld,6.4,305.0,12.669608,False,en,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."
Copycat,"Drama ,Thriller",1995,"sigourneyweaver ,hollyhunter ,willpatton",jonamiel,6.5,199.0,10.701801,False,en,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
Assassins,"Action ,Adventure ,Crime ,Thriller",1995,"sylvesterstallone ,antoniobanderas ,juliannemoore",richarddonner,6.0,394.0,11.065939,False,en,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself."
Powder,"Drama ,Fantasy ,Science Fiction ,Thriller",1995,"marysteenburgen ,seanpatrickflanery ,lancehenriksen",victorsalva,6.3,143.0,12.133094,False,en,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."
Leaving Las Vegas,"Drama ,Romance",1995,"nicolascage ,elisabethshue ,juliansands",mikefiggis,7.1,365.0,10.332025,False,en,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
Othello,Drama,1995,"laurencefishburne ,irènejacob ,kennethbranagh",oliverparker,7.0,33.0,1.8458990000000002,False,en,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
Now and Then,"Comedy ,Drama ,Family",1995,"christinaricci ,rosieo'donnell ,thorabirch",leslilinkaglatter,6.6,91.0,8.681325,False,en,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more."
Persuasion,"Drama ,Romance",1995,"amandaroot ,ciaránhinds ,susanfleetwood",rogermichell,7.4,36.0,2.228434,False,en,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne."
The City of Lost Children,"Fantasy ,Science Fiction ,Adventure",1995,"ronperlman ,dominiquepinon ,judithvittet",jean-pierrejeunet,7.6,308.0,9.822422999999999,False,fr,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
Shanghai Triad,"Drama ,Crime",1995,"gongli ,libao-tian ,wangxiaoxiao",zhangyimou,6.5,17.0,1.1009149999999999,False,zh,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
Dangerous Minds,"Drama ,Crime",1995,"michellepfeiffer ,georgedzundza ,courtneyb.vance",johnn.smith,6.4,249.0,9.481338000000001,False,en,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost."
Twelve Monkeys,"Science Fiction ,Thriller ,Mystery",1995,"brucewillis ,madeleinestowe ,bradpitt",terrygilliam,7.4,2470.0,12.297305,False,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease."
Babe,"Fantasy ,Drama ,Comedy ,Family",1995,"christinecavanaugh ,miriammargolyes ,dannymann",chrisnoonan,6.0,756.0,14.404764000000002,False,en,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be."
Carrington,"History ,Drama ,Romance",1995,"emmathompson ,jonathanpryce ,stevenwaddington",christopherhampton,6.4,16.0,1.4933610000000002,False,en,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector."
Dead Man Walking,Drama,1995,"susansarandon ,seanpenn ,robertprosky",timrobbins,7.3,350.0,6.891317,False,en,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.
Across the Sea of Time,"Adventure ,History ,Drama ,Family",1995,"peterreznick ,johnmcdonough ,avihoffman",stephenlow,3.5,2.0,0.114469,False,en,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today."
It Takes Two,"Comedy ,Family ,Romance",1995,"kirstiealley ,steveguttenberg ,ashleyolsen",andytennant,6.1,149.0,7.777735000000001,False,en,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda."
Clueless,"Comedy ,Drama ,Romance",1995,"aliciasilverstone ,staceydash ,brittanymurphy",amyheckerling,6.9,828.0,9.882383,False,en,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him."
"Cry, the Beloved Country",Drama,1995,"jamesearljones ,charless.dutton ,jackrobinson",darrelljamesroodt,6.7,13.0,0.894647,False,en,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
Richard III,"Drama ,War",1995,"ianmckellen ,annettebening ,jimbroadbent",richardloncraine,6.9,50.0,4.561387,False,en,Shakespeare's Play transplanted into a 1930s setting.
